oficina,departamento,horario_atencion,dias_de_apertura,dias_de_cierre,direccion,indicativo,telefono,numero_telefonico_no_1,numero_telefonico_no_2,numero_telefonico_no_3,numero_telefonico_no_4,numero_telefonico_no_5,numero_telefonico_no_6,column14,column15,column16,column17
PURACE,CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 3 NO. 5 - 49 CALLE PRINCIPAL - COCONUCO - PURACÉ,92,8277165 - 8277088 - 8277021,8277165,8277088,8277021,,,,,,,
EL ROSARIO,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CENTRO EL ROSARIO,92,7265443,7265443,,,,,,,,,
BELEN,BOYACÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA.5 NO.6-11,98,7870095 - 7870189,7870095,7870189,,,,,,,,
ALMAGUER,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 4 NO.4-56,92,8267642 - 8267641 - 8267643,8267642,8267641,8267643,,,,,,,
FORTUL,ARAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 7 NO. 23-17,97,8899154 - 8899056 - 8899057 - 8899111 - 8899125,8899154,8899056,8899057,8899111,8899125,,,,,
RESTREPO,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 5 NO.9 - 61,98,6550081 - 6550080,6550081,6550080,,,,,,,,
BARCELONA,QUINDIO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA 11 CALLE 11  ESQUINA,96,656409 - 7656054 - 7656055,656409,656054,656055,,,,,,,
CALAMAR,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 2 NO.20-07      20-70,95,6208665 - 6208565 - 6208522 - 6208524,6208665,6208565,6208522,6208524,,,,,,
MIRANDA,CAUCA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA. 6 NO. 7 - 22,92,8476129 - 8475736 - 8476158,8476129,8475736,8476158,,,,,,,
DUITAMA,BOYACÁ,7:00 A.M. A 12:30 P.M.. Y DE 2:00 P.M. A 7:00 PM Y SABADO DE 8:30 A.M. A 12M,LUNES A VIERNES Y SABADO,DOMINGO,CALLE 15 NO. 15 - 14 LOCAL 101,98,7630618 - 7630617 - 7630619 - 7630614 - 7630320,7630618,7630617,7630619,7630614,7630320,,,,,
CUCUTILLA,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 3 NO. 4-43/44 BARRIO SOGAMOSO,97,5677358 - 5677212,5677358,5677212,,,,,,,,
AGUACHICA,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO. 22-33,95,5653799 - 5652506 - 5650250 - 5650408 - 5651346,5653799,5652506,5650250,5650408,5651346,,,,,
GUICAN,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.3 NO. 4 - 25,98,7897135 - 7897136,7897135,7897136,,,,,,,,
JERICO,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 5 NO. 7 - 41,94,8523376 - 8523122 - 8524467 - 8533206,8523376,8523122,8524467,8533206,,,,,,
SAN MARTIN,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 7 NO. 5-68,98,6488718 - 6483021 - 6488284,6488718,6483021,6488284,,,,,,,
BELLO,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 51 NO. 51-47,94,4512385 - 4567190 - 4567192 - 4665686 - 2750792,4512385,4567190,4567192,4665686,2750792,,,,,
VALPARAISO,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 9 NO. 9 -57,94,8493339 - 8493941 - 8493933,8493339,8493941,8493933,,,,,,,
SUSACON,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO. 3 - 07,98,7815032 - 7815148,7815032,7815148,,,,,,,,
ASTREA,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE   7   Nº.  3-03,95,5260220 - 5260165 - 5260319 - 5260166,5260220,5260165,5260319,5260166,,,,,,
PUERTO GUZMAN,PUTUMAYO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO.4-76 -  BARRIO LOS PRADOS - PUERTO GUZMÁN,98,4200724 - 4200162 -  - Celu Fijo 3204985281,4200724,4200162,,,,3204985281,,,,
BOGOTA - BARRIO RESTREPO,BOGOTÁ D.C,9:00 A.M. A 4:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CRA.18 NO.15-31/37/ 38 SUR,91,3723809 - 3723810 - 3734809 - 3734810 - 3734810,3723809,3723810,3734809,3734810,3734810,,,,,
PAEZ,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 2 NO. 5-04,98,7594138 - 7594132 - 7596 238,7594138,7594132,7596 23,,,,,,,
PIJAO,QUINDIO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 5 NO. 11 - 48 LOCAL 01,96,7544293 - 7544292 - 7544291,7544293,7544292,7544291,,,,,,,
YAGUARA,HUILA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO 3 - 70,98,8383101 - 838 30 10,8383101,8383010,,,,,,,,
LABATECA,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,PALACIO MUNICIPAL - PISO 1,97,5674021 - 5674099,5674021,5674099,,,,,,,,
ELIAS,HUILA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 2 CRA.5 ESQUINA,98,8375547 - 8305547 - 8305544,8375547,8305547,8305544,,,,,,,
SAN BERNARDO,CUNDINAMARCA,8:00 A.M  - 2:00 PM,MIERCOLES A DOMINGO,LUNES Y MARTES,CARRERA 4 NO. 6-02 PALACIO MUNICIPAL PRIMER PISO,91,8680025 - 8680019 - 8680016,8680025,8680019,8680016,,,,,,,
PUERTO INIRIDA,GUAINÍA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA. 2A. AV. FUNDADORES - FRENTE AL PALACIO GUBERNAMENTAL,98,5656115 - 5656067,5656115,5656067,,,,,,,,
ARGELIA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 30 NO. 30-07/09,94,8650321 - 8650021 - 8650146,8650321,8650021,8650146,,,,,,,
