oficina,departamento,horario_atencion,dias_de_apertura,dias_de_cierre,direccion,indicativo,telefono,numero_telefonico_no_1,numero_telefonico_no_2,numero_telefonico_no_3,numero_telefonico_no_4,numero_telefonico_no_5,numero_telefonico_no_6,column14,column15,column16,column17
MUZO,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 3 NO. 6-33,98,7256268 - 7256122,7256268,7256122,,,,,,,,
LA BELLEZA,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 3 CON CALLE 4 ESQUINA,97,7569825 - 7569826 -  - Celufijo 3124571312,7569825,7569826,,,,3124571312,,,,
RIOFRIO,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO.9-50,92,2268317 - 2268116,2268317,2268116,,,,,,,,
SAN ANTERO,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA.14 NO.13-97,94,7730027 - 7735511 - 7730226,7730027,7735511,7730226,,,,,,,
SAN LUIS DE GACENO,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO. 4 - 45,98,6248033 - 6248044 - 6248484,6248033,6248044,6248484,,,,,,,
SAN JERONIMO,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 24 NO. 12 A 31,94,8583257 - 8582542 - 8582393 - 8580338,8583257,8582542,8582393,8580338,,,,,,
TOLEDO,NORTE DE SANTANDER,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA  5 N° 12-80 CALLE REAL,97,5670233 - 5670227 - 5670013,5670233,5670227,5670013,,,,,,,
MONIQUIRA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 5 NO.18 - 45/53,98,7281655 - 7282342 - 7282205 - 7281826 - 7287825,7281655,7282342,7282205,7281826,7287825,,,,,
GUTIERREZ,CUNDINAMARCA,8.00 A.M. A 3:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO 4-20,91,8489004 - 8489154,8489004,8489154,,,,,,,,
GIRON,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 30 N° 27-28,97,6469134 - 6466802 - 6533583,6469134,6466802,6533583,,,,,,,
CAUCASIA,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 20 NO. 3 - 76 CENTRO COMERCIAL CAUCA CENTRO  - LOCALES 101 - 102 - 103 - 125 - 126 BARRIO NUEVA ESTRELLA,94,8398975 - 8396740 - 8392101 - 8390977 - 8390850,8398975,8396740,8392101,8390977,8390850,,,,,
CONCEPCION,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 4 N° 6-67,97,6603181 - 6603214,6603181,6603214,,,,,,,,
TIBU,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 N° 5-11 BARRIO MIRAFLORES,97,5663687 - 5663884 - 5663090 - 5663249,5663687,5663884,5663090,5663249,,,,,,
SAN LUIS,TOLIMA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 7 NO 5 - 36/38,98,2252042 - 2252001,2252042,2252001,,,,,,,,
GUACARI,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO. 8 - 42,92,2531373 - 2531033 - 2531118 - 2531273 - 2531274,2531373,2531033,2531118,2531273,2531274,,,,,
CHAGUANI,CUNDINAMARCA,7.00 A.M. A 2:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 3-01  ESQUINA,91,8461057 - 8461033 - 8461129 - 8461058,8461057,8461033,8461129,8461058,,,,,,
CHIQUINQUIRA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 17 NO.8-42/44,98,7262470 - 7264264 - 7264266 - 7262589 - 7262564,7262470,7264264,7264266,7262589,7262564,,,,,
MAGANGUE,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,TRANSVERSAL  3  Nº. 3A-16/24,95,6878027 - 6878024 - 6877859 - 6877374 - 6877340,6878027,6878024,6877859,6877374,6877340,,,,,
CALI SUCURSAL,VALLE DEL CAUCA,7:00 A.M. A 12:30 P.M. Y DE 2:00 P.M. A 7:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 11 NO.5-28,92,8983340 - 8983341 - 8983342 - 8983314 - 8983313,8983340,8983341,8983342,8983314,8983313,,,,,
PUERTO RONDON,ARAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 1 NO. 3-56,97,8897120 - 8897039 - 8897060,8897120,8897039,8897060,,,,,,,
MORALES,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,PARQUE PRINCIPAL - CALLE CENTRAL MORALES,95,5698185 - 5698031,5698185,5698031,,,,,,,,
SAN JOSE DE ALBAN,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 3 NO.4-20 CENTRO,92,7430021 - 7430107,7430021,7430107,,,,,,,,
SONSON,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA 8A NO.6-77       CALLE 7 NO 8-7,94,8692084 - 8692083 - 8692091,8692084,8692083,8692091,,,,,,,
PUERTO BERRIO,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 Nº 5-12/16/18/22,94,8332087 - 8332560 - 8332086,8332087,8332560,8332086,,,,,,,
BUENOS AIRES,CAUCA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA  1 CON CALLE 6,92,8466525 - 8466710 - 8466526,8466525,8466710,8466526,,,,,,,
GACHANTIVA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,PALACIO MPAL,98,74005217 - 7400522 - 7400521 -  - Celufijo 3214571314,7400521,7400522,7400521,,,3214571314,,,,
LINARES,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 4 NO. 3-27 CALLE PRINCIPAL,92,7287482,7287482,,,,,,,,,
SOGAMOSO,BOYACÁ,7:00 A.M. A 12:30 P.M.. Y DE 2:00 P.M. A 7:00 PM Y SABADO DE 8:30 A.M. A 12M,LUNES A VIERNES Y SABADO,DOMINGO,CARRERA 11 NO.12-99,98,7721681 - 7721664 - 7721662 - 7710935 - 7710934,7721681,7721664,7721662,7710935,7710934,,,,,
SAN BENITO ABAD,SUCRE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE INFANTIL,95,2930198 - 2930094,2930198,2930094,,,,,,,,
RIOSUCIO,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 8 NO.7-60 ESQUINA PLAZA LA CANDELARIA,96,68594297 - 8592124 - 8592598,6859429,8592124,8592598,,,,,,,
SAN CARLOS,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 9 -26 BARRIO CENTRO - CALLE PRINCIPAL,94,7786507 - 7780167 - 7780088,7786507,7780167,7780088,,,,,,,
PAMPLONA,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO.6-58,97,686689 - 688754 - 5684431 - 5682697 - 5682605,5684431,5682967,5682605,,,,,,,
JUAN DE ACOSTA,ATLÁNTICO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 7  Nº. 4-106,95,8754115 - 8754070,8754115,8754070,,,,,,,,
ANDES,ANTIOQUIA,8:00 A.M  - 2:00 PM,MIERCOLES A DOMINGO,LUNES Y MARTES,CRA.50 NO.49 A -24 P.P.,94,8414867 - 8414333 - 8414066 - 8414869,8414867,8414333,8414066,8414869,,,,,,
CALI  AVENIDA TERCERA NORTE,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,AVENIDA. 3A. NORTE NO.40 N -08 BARRIO VIPASA,92,6650340 - 6645830 - 6650130 - 6657769 - 6650697,6650340,6645830,6650130,6657769,6650697,,,,,
MARMATO,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,VEREDA EL LLANO  - VÍA PRINCIPAL (NUEVO MARMATO),96,8512302 - 8598410 - 8598120,8512302,8598410,8598120,,,,,,,
FUSAGASUGA,CUNDINAMARCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 8 A - 10,91,8674013 - 8677120 - 8674288 - 8678257,8674013,8677120,8674288,8678257,,,,,,
ZARAGOZA,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 40A NO.40-32 PARQ.PPAL,94,8389036 - 8389102,8389036,8389102,,,,,,,,
UMBITA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO. 15-43 PEATONAL,98,7404557 - 7305031,7404557,7305031,,,,,,,,
CARTAGO,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 11 NO. 4-71 / 4-79,92,2110830 - 2110831 - 2110832 - 2110833 - 2110834,2110830,2110831,2110832,2110833,2110834,,,,,
GUADALAJARA DE BUGA,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 14 NO. 6-32,98,2270370 - 2271647 - 2274304,2270370,2271647,2274304,,,,,,,
MAPIRIPAN,META,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO. 20-71/75 PARQUE PRINCIPAL,98,5841070 - 5841071 - 5209660 - 6596190 - 6596191,5841070,5841071,5209660,6596190,6596191,,,,,
SAN PABLO,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 6 NO. 17 - 23,97,6236004 - 6236147 - 6112809,6236004,6236147,6112809,,,,,,,
ISNOS,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARREA 3 NO.3-67,98,8328113 - 8328000,8328113,8328000,,,,,,,,
ATACO,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA.5 NO.8-07      CRA. 5-7-17,98,2240465 - 2240164 - 2240016 - 2240018,2240465,2240164,2240016,2240018,,,,,,
MANATI,ATLÁNTICO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4B Nº. 7-51,95,8719018 - 8719199,8719018,8719199,,,,,,,,
SOMONDOCO,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO. 3 - 15,98,7531121 - 7531043 - 7531153,7531121,7531043,7531153,,,,,,,
GUAMO,TOLIMA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 9 NO. 10-14 BARRIO EL CENTRO,98,2270867 - 2270721 - 2272513,2270867,2270721,2272513,,,,,,,
TURBO,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 14 N° 100-19,94,8275042 - 8278711 - 8276665,8275042,8278711,8276665,,,,,,,
OPORAPA,HUILA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 7 NO.5 - 21/23,98,8790529 - 8790528 - Celufijo 3102256543,8790529,8790528,,,,3102256543,,,,
COCORNA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 21 NO. 22-34,94,8343195 - 8343443 - 8343469,8343195,8343443,8343469,,,,,,,
PURISIMA,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA.8 NO.3 A - 09,94,7762041 - 7762025,7762041,7762025,,,,,,,,
CARMEN DE CARUPA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 3 NO. 2-96,91,8554159 - 8554129 - 8554160,8554159,8554129,8554160,,,,,,,
PUERTO BOYACA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 11 NO. 3 A 24,98,7383290 - 7383291 - 7384422 - 7384319 - 7381893,7383290,7383291,7384422,7384319,7381893,,,,,
EL TAMBO,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 10 CON CALLE 5 - BARRIO COLÓN,92,7450126,7450126,,,,,,,,,
SARAVENA,ARAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 15 NO.26-53/55/57,97,8820682 - 8891078 - 8891119 - 8891019 - 8892229,8820682,8891078,8891119,8891019,8892229,,,,,
CHIMICHAGUA,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO. 4-02/ 06,95,5280029 - 5280632 - 5280623,5280029,5280632,5280623,,,,,,,
GARAGOA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.10 NO. 9 - 66 LOCAL 101,98,7500667 - 7500267 - 7500237 - 7500629 - 7500802,7500667,7500267,7500237,7500629,7500802,,,,,
LA CUMBRE,VALLE DEL CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 2 CRA. 5 ESQUINA,92,2459240 - 2458164 - 2459496,2459240,2458164,2459496,,,,,,,
VALLEDUPAR,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE  16  Nº.    7-74/80,95,5745858 - 5745601 - 5745617 - 5745606 - 5745602,5745858,5745601,5745617,5745606,5745602,,,,,
TOLEDO,ANTIOQUIA,8:00 A.M  - 2:00 PM,MIERCOLES A DOMINGO,LUNES Y MARTES,CALLE 11 NO. 10 - 18 PARQUE PRINCIPAL,94,8619235,8619235,,,,,,,,,
MEDELLIN ALPUJARRA  (Carabobo),ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 41 NO. 53-59,94,2325344 - 2624762 - 2624752 - 2624749 - 2624747,2325344,2624762,2624752,2624749,2624747,,,,,
PRADO,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA.6 NO.10-17,98,2277135 - 2277425 - 2277461,2277135,2277425,2277461,,,,,,,
LA UNION,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 10 NO.8-54,94,5560525 - 5560684 - 556 05 55,5560525,5560684,5560555,,,,,,,
ANAPOIMA,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 8 NO. 2-14,91,8990564 - 8993410 - 8990318 - 8990057 - 8993412,8990564,8993410,8990318,8990057,8993412,,,,,
ALEJANDRIA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 20 NO.19-34/36,94,8660182 - 8660190 - 8660220 - 8660192,8660182,8660190,8660220,8660192,,,,,,
IQUIRA,HUILA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 7 NO. 3 - 26 BARRIO EL CENTRO,98,8384577 - 8494577 - 8394763,8384577,8494577,8394763,,,,,,,
LA PAZ ROBLES,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,TRASNSVERSAL 5 NO. 5-11,95,5745620 - 5770226 - 5770052 - 5770051,5745620,5770226,5770052,5770051,,,,,,
ANOLAIMA,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 4 NO. 4-02,91,8454277 - 8454278 - 8454078,8454277,8454278,8454078,,,,,,,
SAN MIGUEL,PUTUMAYO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO. 4 - 46 - 56 SECTOR URBANO,98,4210532,4210532,,,,,,,,,
CORINTO,CAUCA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 7 NO. 9-41,92,28271040 - 8270157 - 8270074 - 827105 - 8270118,2827104,8270157,8270074,8270118,,,,,,
CONTADERO,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,PARQUE PRINCIPAL BOLÍVAR BARRIO OBRERO - FRENTE ADMON MPAL.,92,7752871 - 8180820,7752871,8180820,,,,,,,,
SAN JOSE DE LA MONTAÑA,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 20 NO. 21-24,94,8622716 - 8622633,8622716,8622633,,,,,,,,
CAMPOALEGRE,HUILA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 18 NO. 7 - 32,98,8381010 - 8380944 - 8380865,8381010,8380944,8380865,,,,,,,
PUERRES,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.3 NO.6-15/ 29 BARRIO EL CENTRO,92,7422337 - 7422194,7422337,7422194,,,,,,,,
PASTO,NARIÑO,7:00 A.M. A 12:30 P.M. Y DE 2:00 P.M. A 7:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 18 NO. 21A-20 - LOCAL 6 COMPLEJO BANCARIO,92,7212528 - 7209287 - 7209286 - 7209085 - 7208590,7212528,7209287,7209286,7209085,7208590,,,,,
LA ARGENTINA,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA 5 NO 5 - 60 BARRIO CENTRO,98,8311641 - 8311681 - 8311643,8311641,8311681,8311643,,,,,,,
GARZON,HUILA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 7 NO.9-55   /57,98,8333520 - 8332366,8333520,8332366,,,,,,,,
TOPAIPI,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 10 NO. 3-30,91,8549610,8549610,,,,,,,,,
COELLO,TOLIMA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 1 NO 1 - 59 ESQUINA.,98,2886207 - 2886107,2886207,2886107,,,,,,,,
COVARACHIA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 1 NO. 3 - 20 ALCALDIA MUNICIPAL,97,6615059 - 6615182 - 688 09 85 -  - Celufijo 3124571323,6615059,6615182,68809 85,,,3124571323,,,,
SAN MATEO,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 3 - 75,98,7894052 - 789 41 85,7894052,7894185,,,,,,,,
SAN CAYETANO,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 3 NO.4-10  CENTRO,91,8505424 - 8505433,8505424,8505433,,,,,,,,
PADILLA,CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 5 CALLE 3 Y 4 - CALLE 10 NO. -16,92,8268213 - 8268132,8268213,8268132,,,,,,,,
CABUYARO,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CENTRO,98,6769095 - 6769290,6769095,6769290,,,,,,,,
EL BANCO,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO.8-51,95,4292369 - 4292542 - 4292263,4292369,4292542,4292263,,,,,,,
ULLOA,VALLE DEL CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 2 NO.4-69/71 PLAZA PRINCIPAL,92,2075142 - 2075365,2075142,2075365,,,,,,,,
QUIPILE,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 2 NO. 3-67 PARQUE PRINCIPAL,91,8499193 - 8499018,8499193,8499018,,,,,,,,
CUBARRAL,META,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 9 NO.8-33,98,6763090 - 6763191 - 6763325,6763090,6763191,6763325,,,,,,,
QUIBDO,CHOCÓ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 24 NO.3-04,94,6712066 - 6716449 - 6713788 - 6712696 - 6716379,6712066,6716449,6713788,6712696,6716379,,,,,
GRANADA,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 16 NO. 12 - 09 BARRIO CENTRO,98,6580915 - 6585931 - 6585937 - 6582612,6580915,6585931,6585937,6582612,,,,,,
EL CASTILLO,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 10 NO.8-33 CENTRO,98,6540016 - 6540005,6540016,6540005,,,,,,,,
PUEBLO RICO,RISARALDA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 4 NO.6-07/11,96,3663267 - 3663237,3663267,3663237,,,,,,,,
SANTA ANA,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA 7 CALLE 2,95,6837025 - 6837026,6837025,6837026,,,,,,,,
ARCABUCO,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.6 NO.4-09,98,7360011 - 7360253 - 7360012,7360011,7360253,7360012,,,,,,,
ARJONA,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 41 NO. 44 -89 CALLE DEL COCO,95,6294172 - 6294170 - 6294171 - 6294174,6294172,6294170,6294171,6294174,,,,,,
SUTAMARCHAN,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 3 NO. 4 - 34/46,98,7251108 -  725 12 75,7251108,7251275,,,,,,,,
PEQUE,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 10 SANTANDER NO. 10-36,94,8552044 - 8552231,8552044,8552231,,,,,,,,
EL RETIRO,ANTIOQUIA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 20 NO. 19-13/19,94,5413169 - 5412010 - 5410247 - 5413311,5413169,5412010,5410247,5413311,,,,,,
SIMACOTA,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 5 NO.5-56 BARRIO EL CENTRO,97,7261509,7261509,,,,,,,,,
SANTA ISABEL,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 2 NO.7-49/53,98,2803091 - 2803013 - 2803233,2803091,2803013,2803233,,,,,,,
VILLA DE LEYVA,BOYACÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 12 NO. 9-45,98,7320649 - 7320456 - 7320233 - 7320648 - 7320269,7320649,7320456,7320233,7320648,7320269,,,,,
VEGACHI,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 49 NO.50 A - 14/34,94,8305579 - 8305624 - 8305355,8305579,8305624,8305355,,,,,,,
FLORIAN,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 2 NO.3-31,97,320 4985256 - 7265338 - 8003023 - 8003020 - Celufijo 3204985256,3204985256,7265338,8003023,8003020,,3204985256,,,,
